lat,lng,osmid
43.8901453,-79.26288819999999,1749108445
43.8648153,-79.0796651,731804498
43.5183706,-79.6385938,2735541304
43.4936956,-79.71678059999999,4512875969
43.547238,-79.62040390000001,449476924
43.809098999999996,-79.4389562,434293123
43.6879786,-79.29567370000001,262255697
43.6919699,-79.35042490000001,8931388196
43.587428700000004,-79.6638275,9069950202
43.899088299999995,-79.26619140000001,5600582733
43.49438,-79.89125940000001,2194768219
43.4764901,-79.7360493,4018714466
43.8004575,-79.5018483,6852652334
43.6535085,-79.393973,394502531
43.708153100000004,-79.3104969,8172816099
43.9334927,-78.8622632,1197219565
43.934922,-79.5487206,391895443
43.4406325,-79.75946090000001,249207225
43.7461785,-79.51096290000001,430869962
43.694667700000004,-79.3438714,392137557
43.671600299999994,-79.42907509999999,60954973
43.2316099,-79.85280379999999,2608315825
43.2311404,-79.9599078,61158302
43.712191600000004,-79.77744100000001,661984262
43.621014,-79.48341359999999,7221330599
43.6214794,-79.483972,8165878041
43.6753228,-79.4032047,944762826
43.6675945,-79.3062764,243330201
43.6569802,-79.38520030000001,700645346
44.059669,-79.46792099999999,347958767
43.8975572,-79.43480799999999,700401803
43.6388408,-79.5368973,2409121711
43.6845049,-79.512654,356165529
43.7151886,-79.43832490000001,29656818
43.736778799999996,-79.4465385,261634342
43.774267200000004,-79.3876782,254481975
43.8463647,-79.09875759999998,1581915248
43.6478607,-79.3653193,3063626843
43.853478100000004,-79.3368843,2356968727
43.8350476,-79.4562042,8060598781
43.5998388,-79.5135764,1349937378
43.844815999999994,-79.07691899999999,1582017349
44.0043176,-79.4863172,699403762
43.867631,-79.029737,414451712
43.3992125,-79.82298459999998,1116842047
43.8458566,-79.477177,4561810797
43.6448424,-79.6957572,390176069
43.883355200000004,-79.3683352,275457046
43.5391642,-79.9119681,7450022179
43.7782639,-79.4154543,5706241175
43.6693251,-79.2929311,264994229
43.458996,-79.7101584,2367993845
44.036762100000004,-79.41406479999999,2770620309
43.5994944,-79.6377541,599398789
43.7782756,-79.41542340000001,5706241175
43.618753600000005,-79.48536120000001,2818415214
43.3517347,-79.771156,131847444
43.825662799999996,-79.3993708,320256176
43.795635600000004,-79.5203202,4616117803
43.587731700000006,-79.6466787,707417015
43.909312400000005,-78.83902900000001,392179024
43.904286600000006,-78.8947896,392170610
43.4228395,-79.7604748,4838872448
43.606398999999996,-79.65647159999999,4012000374
43.77766810000001,-79.4356872,59943112
43.6882273,-79.4026627,4908047993
43.6708093,-79.37704559999999,5991896671
43.8424886,-79.6540272,1090194356
43.6338971,-79.5116843,430925328
43.6348364,-79.57621309999999,368413098
43.6588928,-79.7261352,2501212380
43.6055358,-79.62501040000001,818965828
43.973413,-78.94364770000001,1911912550
44.0090475,-79.4523375,1820950517
43.8819455,-79.4368012,8018892875
43.7408737,-79.75105,388093824
43.46479,-79.7254618,339937388
43.7638825,-79.4105726,927229135
43.5253199,-79.83162309999999,2267160993
43.6601161,-79.3850817,6532307619
43.230746,-79.75613309999999,7859174537
43.810139,-79.3493059,430996288
43.66551679999999,-79.3870963,1633443127
43.802696600000004,-79.2770252,424203933
43.8824575,-78.9417628,392173691
43.6008941,-79.64797370000001,4190505654
43.580219799999995,-79.624111,822746087
43.4854926,-79.8387349,4064262714
43.786156299999995,-79.2803279,428863289
43.5948833,-79.6357806,583028559
43.7558709,-79.83788179999999,5716004039
43.8352893,-79.26350479999999,414440360
43.5868747,-79.616872,824790781
44.0620513,-79.4693558,353137215
43.66650870000001,-79.5238761,271825921
43.768693400000004,-79.5055548,430852954
43.8706539,-78.84426059999998,2962686938
43.792190600000005,-79.4635267,48478561
43.8319896,-79.46217840000001,2180083629
43.2601851,-79.8820736,31104085
43.6621532,-79.4102522,6369148120
43.876726899999994,-78.95136679999999,8156250725
43.78427670000001,-79.3976916,5770948940
43.7815643,-79.74417170000001,693976898
43.892720600000004,-79.3020976,442601959
43.674352,-79.339597,1300270105
43.650673499999996,-79.4709818,402335675
43.7303213,-79.3272765,1950124731
43.7980909,-79.4564788,313780823
43.9635061,-79.44912140000001,4262494413
43.8578828,-79.2965078,436086165
43.6406584,-79.3956929,6870995504
43.7989021,-79.573327,7399538018
43.467188799999995,-79.7125127,420287570
43.8750917,-79.44557809999999,287311088
43.939274700000006,-79.4446821,699537208
43.4002276,-79.72274490000001,1784964922
43.681469,-79.821156,459025414
43.6787307,-79.32812709999999,669641908
43.77963629999999,-79.41456120000001,5559913148
43.5805398,-79.58786629999999,3934895408
43.411523700000004,-79.79673100000001,281818196
43.4355187,-79.7727985,3897635043
43.876448700000005,-78.9588522,4053259642
43.5267527,-79.6893456,448092473
43.8588979,-79.5046682,7888152235
43.882901600000004,-79.30690159999999,4561386441
43.9064989,-78.85177850000001,392162795
43.4976787,-79.6592668,369315583
43.748522200000004,-79.5075915,430870458
43.5151076,-79.64946490000001,448812892
43.7294752,-79.4218147,261656722
43.6357152,-79.39982679999999,1677820705
43.8543771,-79.46992970000001,6762048043
43.396254,-79.8231304,282342606
43.855908299999996,-79.3040332,2380774161
43.8233951,-79.08182740000001,414407549
43.657041,-79.57307309999999,6388741534
43.711012100000005,-79.6959654,461604822
43.7505193,-79.58154420000001,4827608908
43.9047581,-79.44989140000001,414471740
43.6390838,-79.4715254,1849280925
43.6460991,-79.36513620000001,2399968912
43.4283967,-79.74714300000001,679674399
43.575801399999996,-79.751641,446622071
43.8029618,-79.5894463,388153044
43.7886376,-79.46973759999999,7120506750
43.7395703,-79.36215379999999,299283376
43.6714759,-79.3751288,961010226
