address,lat,lng
Summerhill,43.68303032,-79.39084679
Rosedale,43.67789421,79.3888561
Wellesley,43.66579149,-79.3837987
Chester,43.67910046,-79.35264722
Castle Frank,43.67446989,-79.36868028
Danforth,43.68828611,-79.30041077
Union Station,43.64661097,-79.38060675
High Park Station,43.65395535,-79.46691416
Old Mill,43.65118129,-79.49492437
Royal York,43.64967727,-79.51132235
