,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,0,6051.9,5350,5516.7,8265.1,4035.8,3741.3,4473.6,5360.4,4950.8,8569.8,21425.3,3815.2,5506.6,14365.6,9206.6,3341.8,17709.3,13069.2,12443.5,7624,7009.1,5735.5,4151.1,4679.2,4889.3,5048.7,13743.1,15766,17009.9
1,6933.3,0,3722,903.9,2330.1,2291.4,6485.2,2982.4,1968.2,4298.5,3308.1,24379.9,6379.6,3132.2,9509.3,7344.8,6897.8,12888,8247.9,5496.6,5762.3,5147.3,3722.2,7923.4,5628,11727.1,1613.3,8921.8,10944.8,12188.6
2,5092.7,3752.3,0,4091.5,5902.9,2620,2772.2,3204.1,3759.5,585.6,3082.3,18940.2,2666.6,979.8,9387.5,4228.4,3184.9,16285.7,7179.5,5758.5,2645.9,2030.9,466.8,4210.4,1915,7536.2,2924.6,7886.3,14342.5,15586.3
3,6311.9,1093.7,3770.8,0,3317.5,2199.9,7133.7,2360.9,1075.9,4347.3,3873.5,23758.4,7207.6,3181,10074.6,7393.6,7510.1,12266.5,7626.5,7000.7,5811,5196.1,3770.9,8751.4,6306.2,11105.6,1412.8,8300.4,10323.3,11567.2
4,8796,2747,5872.7,2939.6,0,4684,9617.8,4845,3893.6,6449.2,4262.3,19296.3,8530.3,5282.9,9499.8,9495.5,9048.5,10372.2,4620.6,3586.9,7913,7298,5872.9,10074.1,7778.7,13589.7,4161.2,5327.4,8428.9,9672.8
5,4032.7,2309,2529.2,1773.8,4839.1,0,4854.5,878.4,1367.8,2731.4,5016.7,21005.6,4928.4,1930.4,11329.1,6147.8,5231,13714.5,9074.4,8448.7,4565.2,3950.3,2535.8,6472.2,3997.7,8922,1305.8,9748.3,11771.3,13015.1
6,3730.7,6487.6,2908.5,6416.8,8638.1,4935.8,0,5373.6,6260.5,2186.6,4580.6,11486.5,139.6,3724.4,10765.3,5606.2,657.9,18609.3,8677.8,7256.8,4023.7,3408.7,2971.4,1683.4,1003.6,5009.2,5948.8,9384.6,16666.1,17909.9
7,4479.5,2930.3,3138.2,1964.3,4777.2,878.3,5301.3,0,1121.3,3333.9,5710.1,22095.3,5375.2,2539.4,11911.2,6756.8,5677.8,13652.6,9012.5,8386.8,5174.2,4559.3,3144.8,6919,4473.8,9273.3,1893.4,9686.4,11709.4,12953.2
8,5403.3,2113.3,3663.1,1216.7,6523.6,1295.1,6225.1,1121.3,0,4239.6,4893,22856.5,6299,2956.3,11094.2,7285.9,6601.6,12775.4,8135.3,7509.6,5703.3,5088.4,3663.2,7842.8,5397.6,10197,1411.3,8809.2,10832.1,12076
9,4808.5,4300.9,721.8,4640.1,6451.5,2749.8,2186.6,3333.9,4074.4,0,3400.2,18354.6,2081,1537.8,9973.7,4546.3,2599.3,16415.5,7497.4,6076.4,2963.7,2366.1,784.7,3624.9,1329.5,6950.7,3473.2,8204.2,14472.3,15716.1
