,from_id,to_id,duration,length
0,97,166,439.8,3732.3
1,97,0,700.2,7965.9
2,97,1,711.5,11066.4
3,97,2,363.1,3948.4
4,97,3,550.3,5057.8
5,97,4,940.3,10181.5
6,97,5,204.7,1767.7
7,97,6,264.4,2516.5
8,97,7,401.5,3555.5
9,97,8,520.7,5140.0
10,97,9,1256.6,14430.3
11,97,10,2093.3,36152.7
12,97,11,639.0,7072.8
13,97,12,224.3,2178.8
14,97,13,256.5,2191.5
15,97,14,740.9,6798.5
16,97,15,2085.4,26116.6
17,97,16,335.8,2797.2
18,97,17,713.8,7671.4
19,97,18,406.6,3639.8
20,97,19,437.3,4137.9
21,97,20,1530.4,28438.8
22,97,21,233.4,2149.1
23,97,22,458.1,4319.9
24,97,23,1567.3,18728.0
25,97,24,1603.8,25169.1
26,97,25,1171.2,10224.2
27,97,26,508.0,4771.0
28,97,27,545.7,4548.8
29,97,28,1340.1,24564.7
30,97,29,355.6,3146.3
31,97,30,470.4,4728.5
32,97,31,832.0,11049.1
33,97,32,292.5,2508.2
34,97,33,352.4,3504.0
35,97,34,1763.8,20929.3
36,97,35,306.1,2778.5
37,97,36,324.5,2891.0
38,97,37,632.1,7135.3
39,97,38,300.2,3109.2
40,97,39,626.8,7122.6
41,97,40,610.7,5255.8
42,97,41,1111.9,17662.3
43,97,42,580.5,6624.9
44,97,43,398.6,3556.2
45,97,44,237.8,2085.1
46,97,45,426.2,4090.0
47,97,46,542.6,4635.9
48,97,47,740.9,6798.5
49,97,48,1391.7,22903.7
50,97,49,1687.2,31832.3
51,97,50,444.4,4290.5
52,97,51,1563.1,18813.3
53,97,52,332.0,2832.4
54,97,53,740.9,6798.5
55,97,54,492.4,4629.9
56,97,55,417.7,3836.6
57,97,56,1017.6,11929.6
58,97,57,1115.0,19596.2
59,97,58,331.6,3305.7
60,97,59,539.0,5061.9
61,97,60,1939.1,33115.2
62,97,61,904.6,13582.7
63,97,62,445.5,4041.2
64,97,63,364.1,3147.3
65,97,64,463.0,4661.8
66,97,65,438.2,4014.1
67,97,66,445.5,4041.2
68,97,67,1425.1,19339.3
69,97,68,400.7,3678.5
70,97,69,790.2,8073.1
71,97,70,657.6,6227.2
72,97,71,581.1,4754.2
73,97,72,735.1,6260.7
74,97,73,295.3,2481.1
75,97,74,1524.2,22644.3
76,97,75,309.7,2741.3
77,97,76,290.1,2364.1
78,97,77,717.4,9233.1
79,97,78,436.9,4223.9
80,97,79,1280.9,19291.1
81,97,80,417.5,3810.8
82,97,81,317.0,2661.0
83,97,82,103.9,973.1
84,97,83,401.0,3291.1
85,97,84,671.3,9240.9
86,97,85,399.6,3454.1
87,97,86,363.6,3351.8
88,97,87,355.5,4066.6
89,97,88,492.6,4245.4
90,97,89,459.4,4334.1
91,97,90,714.7,8059.9
92,97,91,421.1,3497.5
93,97,92,616.6,5605.3
94,97,93,340.6,3449.1
95,97,94,671.0,7291.9
96,97,95,464.5,4675.5
97,97,96,142.8,1146.4
98,97,98,504.8,5732.1
99,97,99,844.9,10174.3
100,97,100,2008.2,34040.8
101,97,101,1723.5,31315.8
102,97,102,424.8,4048.3
103,97,103,443.9,4196.2
104,97,104,479.6,4419.9
105,97,105,583.8,4762.9
106,97,106,298.1,2549.3
107,97,107,234.4,2087.4
108,97,108,1517.5,25132.1
109,97,109,1260.3,18387.3
110,97,110,1324.8,16060.1
111,97,111,836.3,8034.2
112,97,112,347.1,3360.1
113,97,113,725.9,6698.4
114,97,114,278.3,2698.1
115,97,115,348.5,3254.1
116,97,116,277.8,2819.5
117,97,117,444.0,4576.7
118,97,118,321.5,3203.2
119,97,119,843.0,11335.2
120,97,120,1007.9,9073.2
121,97,121,676.8,6378.8
122,97,122,372.0,3166.6
123,97,123,409.3,3954.5
124,97,124,514.3,4740.3
125,97,125,331.4,2632.3
126,97,126,509.8,4668.7
127,97,127,479.3,4483.4
128,97,128,757.7,6603.2
129,97,129,1043.7,14719.7
130,97,130,563.6,4934.0
131,97,131,237.8,2085.1
132,97,132,473.6,4460.0
133,97,133,352.8,4055.4
134,97,134,919.3,13877.0
135,97,135,1321.6,22529.7
136,97,136,364.1,3147.3
137,97,137,1683.6,28309.3
138,97,138,313.1,2821.4
139,97,139,508.0,4771.0
140,97,140,514.9,5875.8
141,97,141,2111.5,31943.9
142,97,142,309.1,2638.3
143,97,143,377.7,3255.0
144,97,144,447.1,4611.4
145,97,145,409.8,3779.5
146,97,146,317.0,3113.7
147,97,147,442.9,4507.3
148,97,148,419.0,3784.8
149,97,149,1787.2,32193.6
150,97,150,273.2,2678.1
151,97,151,298.2,3002.6
152,97,152,526.5,4827.9
153,97,153,403.5,3810.0
154,97,154,511.0,4150.3
155,97,155,453.9,4062.7
156,97,156,651.0,4790.5
157,97,157,177.9,1354.6
158,97,158,549.1,5413.3
159,97,159,2004.5,34098.1
160,97,160,1855.4,31852.6
161,97,161,339.5,3005.4
162,97,162,438.4,4406.4
163,97,163,1545.9,15866.3
164,97,164,206.0,1906.9
165,97,165,243.6,2518.4
