,from_id,to_id,duration,length
0,162,166,367.1,3006.9
1,162,0,377.8,4020.3
2,162,1,890.2,14599.6
3,162,2,211.1,2028.0
4,162,3,447.7,4459.5
5,162,4,1055.1,9998.4
6,162,5,385.7,3174.0
7,162,6,271.1,2488.4
8,162,7,295.5,3268.5
9,162,8,555.4,6217.7
10,162,9,1399.0,16874.0
11,162,10,1770.9,32207.1
12,162,11,316.6,3127.3
13,162,12,252.9,2373.3
14,162,13,405.9,3404.9
15,162,14,418.5,2853.0
16,162,15,1807.5,24764.2
17,162,16,371.2,3159.3
18,162,17,391.4,3725.8
19,162,18,207.8,1590.3
20,162,19,147.7,1157.5
21,162,20,1709.1,31972.1
22,162,21,308.1,2753.0
23,162,22,172.5,1247.7
24,162,23,1709.7,21171.7
25,162,24,1281.4,21223.5
26,162,25,1211.3,11288.2
27,162,26,139.0,808.3
28,162,27,484.1,3900.6
29,162,28,1518.8,28097.9
30,162,29,257.5,2203.3
31,162,30,94.1,786.7
32,162,31,509.6,7103.5
33,162,32,284.7,2307.3
34,162,33,150.3,1150.6
35,162,34,1674.3,20390.9
36,162,35,253.5,2218.4
37,162,36,235.1,1858.1
38,162,37,309.7,3189.7
39,162,38,650.5,8795.7
40,162,39,304.4,3177.0
41,162,40,300.3,2918.9
42,162,41,789.5,13716.7
43,162,42,258.1,2679.3
44,162,43,168.4,1330.2
45,162,44,312.5,2689.0
46,162,45,391.9,3448.4
47,162,46,508.3,3994.3
48,162,47,418.5,2853.0
49,162,48,1570.4,26437.0
50,162,49,1865.9,35365.5
51,162,50,147.5,1087.6
52,162,51,1705.5,21257.0
53,162,52,277.2,2171.4
54,162,53,418.5,2853.0
55,162,54,96.0,353.3
56,162,55,391.0,3195.0
57,162,56,695.2,7984.0
58,162,57,1293.7,23129.5
59,162,58,151.5,1207.0
60,162,59,140.7,817.6
61,162,60,1616.7,29169.7
62,162,61,582.2,9637.1
63,162,62,125.9,664.2
64,162,63,210.7,1745.6
65,162,64,86.7,720.0
66,162,65,442.4,3878.0
67,162,66,125.9,664.2
68,162,67,1102.7,15393.7
69,162,68,451.8,3988.1
70,162,69,895.8,9279.0
71,162,70,758.7,8151.3
72,162,71,546.8,4112.6
73,162,72,468.7,4483.9
74,162,73,293.5,2454.1
75,162,74,1201.8,18698.7
76,162,75,264.3,2181.2
77,162,76,393.7,3211.6
78,162,77,395.0,5287.6
79,162,78,140.0,1021.0
80,162,79,958.5,15345.6
81,162,80,218.7,1761.3
82,162,81,303.4,2467.2
83,162,82,381.3,3490.1
84,162,83,254.5,1947.2
85,162,84,850.0,12774.1
86,162,85,208.1,1486.8
87,162,86,414.7,3661.5
88,162,87,705.8,9753.1
89,162,88,431.0,3597.2
90,162,89,169.8,1353.7
91,162,90,392.3,4114.4
92,162,91,354.1,2782.2
93,162,92,487.0,4833.6
94,162,93,93.5,804.6
95,162,94,348.6,3346.3
96,162,95,88.2,733.8
97,162,96,518.5,4534.8
98,162,97,708.4,10198.2
99,162,98,182.4,1786.6
100,162,99,987.3,12618.0
101,162,100,2186.9,37574.1
102,162,101,1902.2,34849.0
103,162,102,141.0,1067.9
104,162,103,154.3,1215.8
105,162,104,483.8,4283.8
106,162,105,549.5,4121.4
107,162,106,315.6,2575.6
108,162,107,337.1,2805.5
109,162,108,1542.6,16314.7
110,162,109,1439.0,21920.6
111,162,110,1467.2,18503.8
112,162,111,762.1,7551.2
113,162,112,157.3,1140.2
114,162,113,666.8,6330.8
115,162,114,220.6,1876.0
116,162,115,152.0,1296.3
117,162,116,188.3,1590.0
118,162,117,75.0,614.1
119,162,118,133.0,1195.5
120,162,119,520.6,7389.7
121,162,120,697.8,8871.7
122,162,121,625.0,6011.3
123,162,122,240.7,1852.8
124,162,123,125.5,974.1
125,162,124,480.5,4776.9
126,162,125,687.8,6322.5
127,162,126,113.4,392.1
128,162,127,195.5,1503.0
129,162,128,482.2,4605.5
130,162,129,721.3,10774.2
131,162,130,288.1,2936.3
132,162,131,312.5,2689.0
133,162,132,186.3,1465.3
134,162,133,703.1,9741.9
135,162,134,1098.0,17410.2
136,162,135,1500.3,26062.9
137,162,136,210.7,1745.6
138,162,137,1361.2,24363.7
139,162,138,257.5,2039.9
140,162,139,139.0,808.3
141,162,140,192.5,1930.3
142,162,141,1789.1,27998.3
143,162,142,325.5,2758.2
144,162,143,231.2,1911.1
145,162,144,78.1,648.8
146,162,145,460.9,4089.2
147,162,146,202.3,1631.6
148,162,147,66.6,565.5
149,162,148,184.5,1464.1
150,162,149,1965.9,35726.9
151,162,150,236.7,2039.5
152,162,151,171.0,1476.1
153,162,152,426.8,4168.8
154,162,153,99.1,797.9
155,162,154,484.3,3508.7
156,162,155,458.1,3926.6
157,162,156,589.4,4142.3
158,162,157,454.4,4051.6
159,162,158,582.0,6477.2
160,162,159,1682.1,30152.6
161,162,160,1533.0,27907.0
162,162,161,283.9,2223.9
163,162,163,1513.3,15157.2
164,162,164,299.1,2845.3
165,162,165,197.2,1898.4
