,from_id,to_id,duration,length
0,80,166,185.5,1399.2
1,80,0,448.0,4476.1
2,80,1,976.0,13636.8
3,80,2,308.8,3047.8
4,80,3,313.2,2646.4
5,80,4,929.7,8919.5
6,80,5,284.8,2410.0
7,80,6,255.3,2253.8
8,80,7,101.0,607.1
9,80,8,697.0,7486.0
10,80,9,1481.9,17371.1
11,80,10,1862.9,32662.0
12,80,11,373.3,3222.5
13,80,12,280.9,2563.3
14,80,13,309.4,2630.4
15,80,14,488.7,3308.8
16,80,15,1859.2,22627.6
17,80,16,252.4,2243.5
18,80,17,461.6,4181.7
19,80,18,46.5,250.0
20,80,19,77.5,650.2
21,80,20,1794.9,31009.3
22,80,21,352.5,3133.3
23,80,22,84.7,699.1
24,80,23,1792.6,21668.9
25,80,24,1373.4,21678.4
26,80,25,1348.3,12266.6
27,80,26,251.7,1741.6
28,80,27,625.7,5168.9
29,80,28,1604.6,27135.2
30,80,29,138.7,1287.6
31,80,30,169.2,1376.1
32,80,31,601.6,7558.4
33,80,32,375.1,3154.0
34,80,33,129.0,1170.9
35,80,34,1598.3,17297.9
36,80,35,134.7,1302.6
37,80,36,148.0,1333.3
38,80,37,379.9,3645.6
39,80,38,675.7,6397.8
40,80,39,374.6,3632.8
41,80,40,193.2,1445.0
42,80,41,881.5,14171.6
43,80,42,296.0,2635.1
44,80,43,74.4,590.9
45,80,44,356.9,3069.3
46,80,45,266.5,2369.6
47,80,46,374.8,2410.2
48,80,47,488.7,3308.8
49,80,48,1534.7,14548.3
50,80,49,1951.7,34402.8
51,80,50,113.0,859.2
52,80,51,1788.4,21754.2
53,80,52,158.4,1255.6
54,80,53,488.7,3308.8
55,80,54,236.1,1600.6
56,80,55,265.6,2116.1
57,80,56,787.2,8438.9
58,80,57,1379.5,22166.7
59,80,58,174.6,1474.3
60,80,59,280.6,2011.1
61,80,60,1708.7,29624.5
62,80,61,674.2,10092.0
63,80,62,308.6,2360.7
64,80,63,91.9,829.8
65,80,64,161.8,1309.5
66,80,65,323.6,2962.2
67,80,66,308.6,2360.7
68,80,67,1194.7,15848.6
69,80,68,333.0,3072.4
70,80,69,993.9,9810.2
71,80,70,856.8,8682.5
72,80,71,413.3,2528.6
73,80,72,326.7,2670.8
74,80,73,174.7,1538.3
75,80,74,1293.8,19153.6
76,80,75,145.5,1265.4
77,80,76,274.9,2295.8
78,80,77,473.1,4322.3
79,80,78,120.2,1053.9
80,80,79,1050.5,15800.5
81,80,81,184.6,1551.4
82,80,82,327.4,2877.9
83,80,83,135.7,1031.5
84,80,84,935.8,11811.4
85,80,85,89.3,571.0
86,80,86,295.9,2745.7
87,80,87,710.6,6617.7
88,80,88,572.6,4865.5
89,80,89,69.5,527.2
90,80,90,462.5,4570.2
91,80,91,228.7,1703.3
92,80,92,352.5,3020.5
93,80,93,276.2,2501.2
94,80,94,405.3,3441.6
95,80,95,163.3,1323.2
96,80,96,472.0,3922.5
97,80,97,779.7,7879.2
98,80,98,160.7,1210.1
99,80,99,1070.2,13115.1
100,80,100,2272.7,36611.3
101,80,101,1988.0,33886.3
102,80,102,106.1,850.6
103,80,103,84.1,708.4
104,80,104,361.3,2593.9
105,80,105,416.0,2537.3
106,80,106,196.8,1659.8
107,80,107,218.3,1889.7
108,80,108,1408.1,14501.7
109,80,109,1524.8,20957.8
110,80,110,1550.1,19001.0
111,80,111,627.6,5738.2
112,80,112,207.3,1791.2
113,80,113,532.3,4517.8
114,80,114,193.7,1747.6
115,80,115,194.0,1746.9
116,80,116,216.4,1955.7
117,80,117,194.0,1547.4
118,80,118,310.2,2703.9
119,80,119,612.6,7844.6
120,80,120,662.1,6092.4
121,80,121,490.5,4198.2
122,80,122,115.3,773.9
123,80,123,127.9,939.9
124,80,124,338.3,2346.5
125,80,125,652.9,5997.2
126,80,126,253.5,1639.3
127,80,127,90.2,712.8
128,80,128,340.2,2792.4
129,80,129,808.2,7680.8
130,80,130,146.1,1123.2
131,80,131,356.9,3069.3
132,80,132,69.0,535.1
133,80,133,707.9,6606.5
134,80,134,1183.8,16447.4
135,80,135,1464.6,14174.2
136,80,136,91.9,829.8
137,80,137,1453.2,24818.6
138,80,138,148.9,1345.5
139,80,139,251.7,1741.6
140,80,140,262.7,2386.1
141,80,141,1881.1,28453.2
142,80,142,206.7,1842.4
143,80,143,112.4,995.3
144,80,144,197.1,1582.1
145,80,145,342.1,3173.4
146,80,146,197.9,1658.0
147,80,147,191.8,1444.0
148,80,148,51.4,394.9
149,80,149,2051.7,34764.1
150,80,150,195.5,1801.7
151,80,151,206.8,1762.0
152,80,152,292.3,2355.8
153,80,153,141.1,1248.5
154,80,154,348.0,1858.0
155,80,155,339.3,3010.8
156,80,156,731.0,5410.6
157,80,157,407.9,3439.3
158,80,158,723.6,7745.5
159,80,159,1774.1,30607.4
160,80,160,1625.0,28361.9
161,80,161,175.3,1529.5
162,80,162,202.2,1753.8
163,80,163,1378.8,13344.1
164,80,164,362.8,3218.9
165,80,165,231.6,2115.6
