,from_id,to_id,duration,length
0,73,166,247.7,2018.8
1,73,0,589.2,5704.1
2,73,1,878.6,12277.4
3,73,2,277.8,2473.8
4,73,3,370.5,3314.3
5,73,4,871.7,8151.2
6,73,5,152.9,1040.1
7,73,6,225.7,1679.8
8,73,7,159.8,1216.0
9,73,8,665.9,6314.6
10,73,9,1442.2,15609.1
11,73,10,1982.3,33890.9
12,73,11,528.0,4811.0
13,73,12,249.9,1989.4
14,73,13,174.2,1265.5
15,73,14,629.9,4536.7
16,73,15,1913.0,24373.2
17,73,16,187.2,1552.0
18,73,17,602.8,5409.6
19,73,18,155.3,1201.8
20,73,19,193.8,1602.0
21,73,20,1697.5,29649.9
22,73,21,321.5,2559.3
23,73,22,250.9,2071.8
24,73,23,1752.9,19906.8
25,73,24,1492.8,22907.3
26,73,25,1314.6,11385.1
27,73,26,353.8,2513.0
28,73,27,594.7,4594.9
29,73,28,1507.2,25775.7
30,73,29,103.2,665.6
31,73,30,285.5,2327.9
32,73,31,721.0,8787.3
33,73,32,343.4,2491.7
34,73,33,166.5,1165.0
35,73,34,1615.2,18061.9
36,73,35,53.7,297.9
37,73,36,72.1,410.4
38,73,37,521.1,4873.5
39,73,38,550.4,5025.6
40,73,39,515.8,4860.8
41,73,40,359.4,2817.7
42,73,41,1000.9,15400.5
43,73,42,478.8,4244.2
44,73,43,147.3,1118.1
45,73,44,325.9,2495.3
46,73,45,253.8,2346.6
47,73,46,370.2,2892.5
48,73,47,629.9,4536.7
49,73,48,1476.7,13780.0
50,73,49,1854.3,33043.3
51,73,50,244.0,2072.2
52,73,51,1748.7,19992.1
53,73,52,93.2,564.1
54,73,53,629.9,4536.7
55,73,54,338.2,2371.9
56,73,55,245.3,2093.2
57,73,56,906.6,9667.8
58,73,57,1282.1,20807.3
59,73,58,155.7,1061.4
60,73,59,384.8,2803.9
61,73,60,1828.1,30853.4
62,73,61,793.6,11320.9
63,73,62,315.9,1998.2
64,73,63,115.2,823.8
65,73,64,278.1,2261.3
66,73,65,258.4,2270.7
67,73,66,315.9,1998.2
68,73,67,1314.1,17077.5
69,73,68,267.8,2380.8
70,73,69,960.2,8928.7
71,73,70,823.1,7801.1
72,73,71,408.7,3010.8
73,73,72,493.4,3921.2
74,73,74,1413.2,20382.5
75,73,75,57.3,260.7
76,73,76,173.8,1004.5
77,73,77,606.4,6971.3
78,73,78,236.5,2005.7
79,73,79,1169.9,17029.3
80,73,80,166.2,1372.7
81,73,81,119.4,859.9
82,73,82,188.0,1508.0
83,73,83,149.7,853.0
84,73,84,838.4,10451.9
85,73,85,148.3,1016.1
86,73,86,230.7,2054.2
87,73,87,595.1,5161.5
88,73,88,541.6,4291.5
89,73,89,215.9,1798.2
90,73,90,603.7,5798.1
91,73,91,241.8,1794.0
92,73,92,444.2,3861.8
93,73,93,277.0,2167.1
94,73,94,560.0,5030.1
95,73,95,279.6,2275.0
96,73,96,332.6,2552.6
97,73,97,654.4,6507.0
98,73,98,315.1,2583.6
99,73,99,1030.5,11353.1
100,73,100,2175.3,35251.8
101,73,101,1890.6,32526.8
102,73,102,222.4,1802.4
103,73,103,200.4,1660.3
104,73,104,299.8,2676.5
105,73,105,411.4,3019.5
106,73,106,54.5,287.5
107,73,107,122.8,721.3
108,73,108,1405.8,14615.6
109,73,109,1427.4,19598.4
110,73,110,1510.4,17238.9
111,73,111,663.9,6290.8
112,73,112,194.9,1317.8
113,73,113,553.5,4954.9
114,73,114,162.7,1173.6
115,73,115,181.6,1273.5
116,73,116,185.4,1381.7
117,73,117,289.8,2318.7
118,73,118,279.2,2129.9
119,73,119,732.0,9073.4
120,73,120,766.2,6733.7
121,73,121,504.4,4635.4
122,73,122,116.4,814.6
123,73,123,229.7,1780.8
124,73,124,334.5,2996.9
125,73,125,537.4,4541.0
126,73,126,355.6,2410.7
127,73,127,256.4,2085.5
128,73,128,506.4,4165.1
129,73,129,912.3,8322.1
130,73,130,312.3,2496.0
131,73,131,325.9,2495.3
132,73,132,232.4,1909.8
133,73,133,592.4,5150.3
134,73,134,1086.4,15088.0
135,73,135,1406.6,13405.9
136,73,136,115.2,823.8
137,73,137,1572.6,26047.5
138,73,138,60.7,340.7
139,73,139,353.8,2513.0
140,73,140,403.9,3614.0
141,73,141,2000.5,29682.1
142,73,142,141.5,1150.9
143,73,143,126.4,816.9
144,73,144,292.9,2353.4
145,73,145,276.9,2481.9
146,73,146,162.4,1036.1
147,73,147,288.7,2249.3
148,73,148,167.7,1346.8
149,73,149,1954.3,33404.6
150,73,150,165.9,1227.7
151,73,151,171.3,1140.0
152,73,152,354.1,3084.5
153,73,153,227.6,1565.7
154,73,154,338.6,2406.9
155,73,155,274.1,2319.3
156,73,156,700.0,4836.6
157,73,157,268.5,2069.4
158,73,158,692.5,6574.2
159,73,159,1893.5,31836.3
160,73,160,1744.4,29590.8
161,73,161,87.1,524.8
162,73,162,284.2,2148.4
163,73,163,1397.3,12998.9
164,73,164,331.8,2644.9
165,73,165,200.6,1541.6
