,from_id,to_id,duration,length
0,163,166,1255.7,11109.8
1,163,0,1409.8,12242.1
2,163,1,1095.5,16196.4
3,163,2,1638.7,15422.5
4,163,3,1087.9,9885.3
5,163,4,748.5,6116.2
6,163,5,1423.7,13203.4
7,163,6,1581.4,14252.1
8,163,7,1328.6,11863.4
9,163,8,1865.7,29522.9
10,163,9,1870.9,26281.1
11,163,10,1377.2,20243.1
12,163,11,1461.6,13129.7
13,163,12,1600.3,14480.6
14,163,13,1335.3,12581.7
15,163,14,1658.9,13535.9
16,163,15,1049.9,13781.5
17,163,16,1292.7,11703.3
18,163,17,1535.9,13000.3
19,163,18,1384.7,12631.0
20,163,19,1423.2,13031.2
21,163,20,1438.4,16744.0
22,163,21,1642.8,14804.2
23,163,22,1433.4,13124.8
24,163,23,1630.0,24804.2
25,163,24,1352.7,18972.3
26,163,25,2521.6,34593.3
27,163,26,1581.2,14174.1
28,163,27,1914.3,16850.6
29,163,28,1340.5,21815.1
30,163,29,1471.8,13466.7
31,163,30,1470.5,13460.0
32,163,31,1297.0,13072.5
33,163,32,1661.1,14809.9
34,163,33,1462.7,13359.8
35,163,34,711.4,6650.1
36,163,35,1403.4,12871.2
37,163,36,1415.2,12781.3
38,163,37,1480.5,13242.4
39,163,38,1357.4,12339.8
40,163,39,1476.1,13225.9
41,163,40,1298.5,11592.5
42,163,41,1466.0,23870.6
43,163,42,1438.8,12827.7
44,163,43,1446.0,13243.8
45,163,44,1647.2,14740.3
46,163,45,1141.3,10478.8
47,163,46,1223.4,10708.6
48,163,47,1658.9,13535.9
49,163,48,821.3,7851.4
50,163,49,1687.6,29082.7
51,163,50,1425.2,13125.1
52,163,51,1872.5,27863.8
53,163,52,1353.0,12422.9
54,163,53,1658.9,13535.9
55,163,54,1581.8,13981.6
56,163,55,1239.6,11213.3
57,163,56,1341.3,12494.5
58,163,57,1027.5,13177.9
59,163,58,1498.8,13432.3
60,163,59,1529.0,13858.2
61,163,60,1182.7,15465.2
62,163,61,1472.4,15555.6
63,163,62,1635.1,14519.1
64,163,63,1385.1,12737.8
65,163,64,1477.9,13526.6
66,163,65,1235.5,11054.8
67,163,66,1635.1,14519.1
68,163,67,1085.4,11067.2
69,163,68,1161.6,10707.8
70,163,69,1982.3,24688.2
71,163,70,1982.9,26646.1
72,163,71,1261.9,10826.9
73,163,72,1199.1,10840.3
74,163,73,1414.2,12876.0
75,163,74,1573.2,24357.1
76,163,75,1419.4,12732.6
77,163,76,1324.2,11968.0
78,163,77,1302.8,11592.6
79,163,78,1432.7,13191.7
80,163,79,1247.3,15539.0
81,163,80,1384.4,12438.9
82,163,81,1338.0,12251.4
83,163,82,1507.2,13712.6
84,163,83,1470.0,13220.3
85,163,84,1279.6,17739.2
86,163,85,1447.0,13141.8
87,163,86,1198.7,11034.5
88,163,87,1336.2,12202.7
89,163,88,1861.2,16547.1
90,163,89,1422.9,12773.4
91,163,90,1369.0,11941.0
92,163,91,1283.7,11692.4
93,163,92,1028.5,9417.6
94,163,93,1602.7,14659.6
95,163,94,1461.3,12568.1
96,163,95,1476.4,13512.9
97,163,96,1473.0,13267.1
98,163,97,1487.5,14675.6
99,163,98,1440.6,13041.5
100,163,99,1806.2,26275.6
101,163,100,2008.6,31291.3
102,163,101,1723.9,28566.2
103,163,102,1451.8,13231.7
104,163,103,1429.8,13089.5
105,163,104,1147.0,10485.4
106,163,105,1264.6,10835.6
107,163,106,1436.9,13040.8
108,163,107,1352.0,12246.8
109,163,108,687.7,6415.3
110,163,109,1331.6,20228.3
111,163,110,1638.5,25345.2
112,163,111,839.9,7853.3
113,163,112,1536.0,13991.8
114,163,113,951.7,8204.1
115,163,114,1523.6,14122.3
116,163,115,1522.7,13947.5
117,163,116,1546.3,14330.4
118,163,117,1523.5,14038.8
119,163,118,1628.0,15430.3
120,163,119,1308.0,13358.6
121,163,120,1126.6,10997.2
122,163,121,940.3,8352.2
123,163,122,1338.9,12255.5
124,163,123,1451.6,13210.0
125,163,124,1112.3,10165.1
126,163,125,1546.4,13882.4
127,163,126,1599.2,14020.4
128,163,127,1443.6,12959.0
129,163,128,1246.5,10944.2
130,163,129,1154.8,11733.6
131,163,130,1283.4,11414.2
132,163,131,1647.2,14740.3
133,163,132,1419.0,12663.2
134,163,133,1333.5,12191.5
135,163,134,1095.4,13377.9
136,163,135,751.2,7477.3
137,163,136,1385.1,12737.8
138,163,137,911.5,12662.5
139,163,138,1392.8,12599.4
140,163,139,1581.2,14174.1
141,163,140,1477.7,13053.5
142,163,141,1394.0,17518.8
143,163,142,1300.7,11910.5
144,163,143,1446.7,13184.2
145,163,144,1526.6,14073.4
146,163,145,1152.5,10606.8
147,163,146,1531.0,13837.1
148,163,147,1518.3,13602.4
149,163,148,1393.6,12775.8
150,163,149,1787.6,29444.1
151,163,150,1526.8,14176.4
152,163,151,1539.9,13941.1
153,163,152,1147.5,10390.3
154,163,153,1469.8,13449.1
155,163,154,1268.8,11248.7
156,163,155,1195.8,10686.5
157,163,156,2019.6,17092.3
158,163,157,1408.9,12783.9
159,163,158,1892.3,29782.4
160,163,159,1240.4,15258.5
161,163,160,1118.0,14042.6
162,163,161,1388.2,12513.1
163,163,162,1528.7,13912.2
164,163,164,1647.7,26466.8
165,163,165,1561.5,14490.3
