,from_id,to_id,duration,length
0,33,166,292.6,2510.5
1,33,0,434.9,4613.5
2,33,1,892.8,13379.7
3,33,2,201.6,2103.2
4,33,3,421.4,3798.1
5,33,4,922.6,8635.0
6,33,5,281.7,2180.8
7,33,6,188.9,1761.1
8,33,7,213.1,1731.3
9,33,8,583.0,6251.6
10,33,9,1365.3,16426.6
11,33,10,1828.0,32800.3
12,33,11,373.7,3720.4
13,33,12,170.7,1645.9
14,33,13,301.9,2411.7
15,33,14,475.6,3446.1
16,33,15,1864.6,25357.4
17,33,16,238.1,2035.8
18,33,17,448.5,4319.0
19,33,18,119.0,1000.0
20,33,19,242.6,625.5
21,33,20,1711.7,30752.2
22,33,21,235.9,2188.7
23,33,22,123.8,922.8
24,33,23,1676.0,20724.3
25,33,24,1338.5,21816.7
26,33,25,1231.7,11322.0
27,33,26,199.5,1422.4
28,33,27,514.8,4235.1
29,33,28,1521.4,26878.0
30,33,29,194.0,482.2
31,33,30,157.0,1180.1
32,33,31,566.7,7696.7
33,33,32,261.6,2194.4
34,33,34,1666.1,18545.7
35,33,35,131.4,1082.9
36,33,36,101.3,743.7
37,33,37,366.8,3782.9
38,33,38,617.9,6233.9
39,33,39,361.5,3770.2
40,33,40,312.5,2646.9
41,33,41,846.6,14309.9
42,33,42,315.2,3272.5
43,33,43,97.7,750.4
44,33,44,240.3,2124.8
45,33,45,304.7,2830.4
46,33,46,421.1,3376.3
47,33,47,475.6,3446.1
48,33,48,1527.6,14263.8
49,33,49,1868.5,34145.6
50,33,50,107.7,924.4
51,33,51,1671.8,20809.6
52,33,52,144.1,1047.9
53,33,53,475.6,3446.1
54,33,54,183.9,1281.3
55,33,55,296.2,2577.0
56,33,56,752.3,8577.2
57,33,57,1296.3,21909.6
58,33,58,69.3,479.7
59,33,59,230.5,1713.3
60,33,60,1673.8,29762.8
61,33,61,639.3,10230.3
62,33,62,185.5,1128.2
63,33,63,77.6,622.0
64,33,64,149.6,1113.4
65,33,65,309.3,2754.5
66,33,66,185.5,1128.2
67,33,67,1159.8,15986.9
68,33,68,318.7,2864.6
69,33,69,877.3,8865.7
70,33,70,740.2,7738.0
71,33,71,459.6,3494.6
72,33,72,456.6,3841.7
73,33,73,171.4,1318.6
74,33,74,1258.9,19291.9
75,33,75,132.7,946.4
76,33,76,260.6,2088.1
77,33,77,452.1,5880.8
78,33,78,100.2,857.8
79,33,79,1015.6,15938.7
80,33,80,129.9,1170.9
81,33,81,170.3,1343.7
82,33,82,314.1,2896.5
83,33,83,134.6,823.7
84,33,84,852.6,11554.2
85,33,85,112.0,814.3
86,33,86,281.6,2538.0
87,33,87,673.2,7191.3
88,33,88,461.7,3931.6
89,33,89,125.1,937.0
90,33,90,449.4,4707.5
91,33,91,279.6,2285.7
92,33,92,482.4,4191.5
93,33,93,153.1,1268.6
94,33,94,405.7,3939.5
95,33,95,151.1,1127.2
96,33,96,451.3,3941.2
97,33,97,711.0,8978.3
98,33,98,178.8,1435.8
99,33,99,953.6,12170.6
100,33,100,2189.5,36354.2
101,33,101,1904.8,33629.1
102,33,102,90.5,651.2
103,33,103,109.6,799.1
104,33,104,350.7,3160.3
105,33,105,462.3,3503.3
106,33,106,193.5,1440.1
107,33,107,204.0,1682.0
108,33,108,1456.7,15099.4
109,33,109,1441.6,20700.7
110,33,110,1433.5,18056.4
111,33,111,714.8,6774.6
112,33,112,83.1,613.3
113,33,113,604.4,5438.7
114,33,114,133.1,1065.9
115,33,115,69.8,568.9
116,33,116,109.2,1011.2
117,33,117,135.5,1228.2
118,33,118,192.6,1659.5
119,33,119,577.7,7982.9
120,33,120,754.9,9464.8
121,33,121,555.3,5119.1
122,33,122,166.2,1356.4
123,33,123,75.0,557.4
124,33,124,385.4,3480.7
125,33,125,615.6,5758.3
126,33,126,201.3,1320.1
127,33,127,145.0,1086.2
128,33,128,470.1,3963.4
129,33,129,778.4,11367.3
130,33,130,276.0,2294.2
131,33,131,240.3,2124.8
132,33,132,139.3,1062.9
133,33,133,670.5,7180.2
134,33,134,1100.6,16190.3
135,33,135,1457.5,13889.7
136,33,136,77.6,622.0
137,33,137,1418.3,24956.9
138,33,138,123.7,925.5
139,33,139,199.5,1422.4
140,33,140,249.6,2523.4
141,33,141,1846.2,28591.5
142,33,142,192.4,1634.6
143,33,143,111.3,787.6
144,33,144,138.6,1262.8
145,33,145,327.8,2965.7
146,33,146,120.1,904.2
147,33,147,134.4,1158.7
148,33,148,127.3,977.5
149,33,149,1968.5,34507.0
150,33,150,134.9,1120.0
151,33,151,88.8,748.7
152,33,152,405.0,3568.2
153,33,153,66.8,443.9
154,33,154,389.5,2890.7
155,33,155,325.0,2803.0
156,33,156,620.1,4476.8
157,33,157,387.2,3458.0
158,33,158,609.6,6511.1
159,33,159,1739.2,30745.7
160,33,160,1590.1,28500.2
161,33,161,150.1,1109.5
162,33,162,129.9,1057.8
163,33,163,1448.2,13482.7
164,33,164,246.2,2274.3
165,33,165,115.0,1171.0
